DATE,TUNINDEX,INDSF,INDBQ,INDAS,INSFI,INDSC,INDDI,INBCO,INAUE,INAAB,INDIN,INBMC,INDMB,TUNINDEX20,INPMP
02/01/2013,4621.99,3066.3,2749.78,8952.83,4704.01,3928.61,5697.27,2663.43,2361.04,2720.7,1862.78,1308.69,2599.97,1807.53,
03/01/2013,4642.08,3070.24,2753.0,8990.21,4703.39,3947.45,5703.18,2688.91,2454.99,2737.8,1892.5,1331.0,2596.29,1817.9,
04/01/2013,4654.33,3068.77,2753.48,8994.91,4668.97,3964.21,5723.46,2724.14,2520.72,2767.65,1903.14,1334.89,2606.68,1824.82,
07/01/2013,4652.74,3070.87,2753.14,9015.93,4700.36,3968.93,5724.95,2753.83,2502.98,2804.92,1870.27,1310.05,2603.49,1827.85,
08/01/2013,4634.63,3063.27,2746.39,8987.18,4690.59,3970.27,5729.97,2721.8,2509.74,2764.15,1861.52,1302.84,2562.4,1817.52,
09/01/2013,4644.25,3074.67,2761.88,8969.06,4648.3,3951.58,5709.63,2729.75,2506.98,2772.34,1856.29,1302.6,2595.79,1821.59,
10/01/2013,4672.74,3080.11,2762.3,8982.58,4727.98,3973.94,5744.5,2792.28,2501.71,2845.59,1874.51,1316.93,2603.66,1836.24,
11/01/2013,4672.01,3081.99,2766.31,8910.22,4729.25,3987.68,5774.75,2775.08,2499.72,2825.32,1871.18,1315.52,2620.84,1841.49,
15/01/2013,4690.9,3091.74,2772.49,8973.66,4768.73,4024.17,5828.74,2808.68,2469.46,2869.24,1869.96,1316.44,2598.68,1852.71,
16/01/2013,4727.82,3118.28,2798.11,8950.72,4825.9,4022.52,5837.91,2812.89,2442.47,2877.78,1906.15,1344.09,2622.6,1868.09,
17/01/2013,4734.38,3125.97,2807.38,8944.14,4813.38,4007.35,5814.24,2835.99,2458.55,2902.65,1894.9,1336.89,2619.89,1871.57,
18/01/2013,4745.11,3144.36,2827.51,8944.14,4808.59,4020.79,5829.34,2813.93,2467.31,2876.1,1883.43,1327.32,2634.35,1872.38,
21/01/2013,4735.57,3132.66,2813.87,8938.56,4827.12,4037.32,5849.25,2805.37,2489.23,2861.81,1890.26,1333.57,2616.03,1863.41,
22/01/2013,4745.37,3144.41,2821.54,9102.81,4831.98,4028.53,5838.47,2817.93,2485.72,2879.4,1880.03,1325.62,2630.13,1867.96,
23/01/2013,4756.1,3159.49,2841.21,9058.51,4798.35,4031.64,5837.45,2810.01,2498.34,2867.82,1873.26,1319.25,2636.96,1870.95,
25/01/2013,4737.03,3145.21,2827.49,9046.83,4777.28,4023.02,5829.89,2797.17,2488.93,2852.61,1863.82,1311.86,2641.67,1866.2,
